,severity,description
0,2,Between IL-137/Buckley Rd/Peterson Rd and IL-120/W Belvidere Rd - Accident.
1,2,At US-14/Northwest Hwy - Accident.
2,3,Between IL-22 and US-14/Northwest Hwy - Accident.
3,3,At CR-25/Meyers Rd/Westmore-Meyers Rd - Accident.
4,3,At Ashland Ave - Accident.
5,3,At Ashland Ave - Accident.
6,3,At CR-37/CR-W26/N Kilbourne Rd - Accident.
7,3,At CR-37/CR-W26/N Kilbourne Rd - Accident.
8,3,At Stearns Rd - Accident.
9,3,At Stearns Rd - Accident.
10,3,At California Ave/Exit 46A - Accident.
11,3,At IL-43/Harlem Ave/Exit 148 - Accident.
12,3,At IL-43/Harlem Ave/Exit 148 - Accident.
13,2,At 115th St/Exit 66B - Accident.
14,3,At Naperville Rd - Accident.
15,2,At Canalport Ave/Cermak Rd/Exit 53 - Accident.
16,2,At Pulaski Rd/Exit 44B - Accident.
17,2,At Ivanhoe Rd - Accident.
18,2,At Williams Rd - Accident.
19,2,At IL-43/Harlem Ave/Exit 21B - Accident.
20,2,At Montrose Ave/Exit 43C - Accident.
21,2,At IL-19/W Irving Park Rd - Accident.
22,2,Between Division St/Exit 49A and IL-64/North Ave/Exit 48B - Accident.
23,2,At US-12/US-20/95th St/Exit 62 - Accident.
24,2,At 75th St - Accident.
25,2,Ramp to I-355 Nb - Accident.
26,2,Ramp to I-355 NB and IL-56/Butterfield Rd - Accident.
27,2,Ramp to I-355 (North) - Accident.
28,2,Ramp to I-355 Northbound and IL-56 - Accident.
29,2,At IL-53-ext - Accident.
30,2,At Diamond Lake Rd - Accident.
31,3,At Dolton Ave/Exit 70 - Accident.
32,2,At Hawley St - Accident.
33,2,At Old Orchard Rd/Exit 35 - Accident.
34,2,At I-355 (North) - Accident.
35,3,At CR-5/CR-V62/N Quentin Rd - Accident.
36,3,At I-94/Tri-State Tollway - Accident.
37,3,At CR-5/CR-V62/N Quentin Rd - Accident.
38,3,At Roosevelt Rd - Accident.
39,3,At 24th St - Accident.
40,3,At 24th St - Accident.
41,3,At IL-59/N Hough St - Accident.
42,3,At 10th St - Accident.
43,3,At Almond Rd - Accident.
44,3,At Almond Rd - Accident.
45,3,At US-14/Northwest Hwy - Accident.
46,3,At US-45/96th Ave/Exit 145 - Accident.
47,3,At Oakley BLV/Western Ave/Exit 27C - Accident.
48,3,At 71st St - Accident.
49,3,At Casey Rd - Accident.
50,3,At IL-132/Grand Ave - Accident.
51,3,At Casey Rd - Accident.
52,3,At US-41/Skokie Hwy - Accident.
53,3,At IL-132/Grand Ave - Accident.
54,3,At Wolf Rd/Exit 16 - Accident.
55,3,At 25th Ave/Exit 18 - Accident.
56,3,At Augusta Blvd - Accident.
57,3,At Augusta Blvd - Accident.
58,3,Between IN-10/Exit 230 and Kankakee Rest Area - Accident.
59,4,Closed between Naperville Rd and Winfield Rd - Road closed due to accident.
60,3,At 63rd St/Exit 58B - Accident.
61,3,At Dolton Ave/Exit 70 - Accident.
62,4,Closed at IL-120/Belvidere Rd - Road closed due to accident.
63,4,Closed at IL-134/Round Lake Rd - Road closed due to accident.
64,3,Between IL-1/Halsted St and Dixie Hwy - Accident.
65,3,Ramp to Milwaukee Ave/Exit 49B - Accident.
66,2,At 111th St/Exit 66A - Accident.
67,2,At Lake-Cook Road - Accident.
68,2,At Sibley Blvd/147th St/Exit 350 - Accident.
69,2,At Holland Rd - Accident.
70,2,At Stewart Ave - Accident.
71,2,At IL-1/Halsted St - Accident.
72,2,Ramp to Keeler Ave/Exit 44A - Accident.
73,2,At Laramie Ave/Exit 24A - Accident.
74,2,At 31st St - Accident.
75,2,At Grosse Pointe Cir - Accident.
76,4,Closed at Oakwood Rd - Road closed due to accident.
77,4,Closed at IL Route 83 - Road closed due to accident.
78,2,At IL-171/Archer Ave - Accident.
79,2,At IL-43/Harlem Ave/Exit 21B - Accident.
80,2,At IL-43/Harlem Ave/Exit 21B - Accident.
81,2,At CR-2/Hobson Rd - Accident.
82,2,At US-45/IL-21/Milwaukee Ave - Accident.
83,2,Between Pulaski Rd/Exit 287 and IL-50/Cicero Ave/Exit 286 - Accident.
84,2,At Nicoll Ave - Accident.
85,2,At CR-33/CR-A44/Aptakisic Rd - Accident.
86,2,At Main St - Accident.
87,2,At Ashland BLV/Paulina St/Exit 28B - Accident.
88,3,At Mill Rd - Accident.
89,3,At Mill Rd - Accident.
90,3,At Port Clinton Rd - Accident.
91,3,At Riverside Rd - Accident.
92,2,At I-88/IL-56/Butterfield Rd - Accident.
93,3,At I-190/Exit 78 - Accident.
94,3,At I-80/Exit 345 - Accident.
95,3,At CR-49/CR-V61/N Fairfield Rd - Accident.
96,3,At CR-49/CR-V61/N Fairfield Rd - Accident.
97,3,At CR-24/CR-V60/N Hainesville Rd - Accident.
98,3,At CR-24/CR-V60/N Hainesville Rd - Accident.
99,3,At I-294/IL-38/Roosevelt Rd - Accident.
100,3,At Roselle Rd - Accident.
101,3,At 83rd St/Exit 61A/Exit 61B - Accident.
102,3,At 93rd Pl - Accident.
103,3,At Central Ave/Exit 23B - Accident.
104,3,At 93rd Pl - Accident.
105,3,At Kimball Ave/Exit 45B - Accident.
106,3,At 87th St/Exit 61B - Accident.
107,3,At Milwaukee Ave/Exit 49B - Accident.
108,3,Between 63rd St/Exit 58B and I-90/I-94 Eastern Split - Accident.
109,3,At 18th St/Exit 52C - Accident.
110,3,At Austin Blvd/Exit 23A - Accident.
111,3,At River Rd/Exit 1 - Accident.
112,2,At Lambert Rd - Accident.
113,3,At 47th St/Exit 56B - Accident.
114,3,At IL-31/State St - Accident.
115,3,At US-12/US-20/95th St/Exit 62 - Accident.
116,4,Closed between Damen Ave/Exit 290 and I-94/Ryan Expy/Exit 292 - Road closed due to accident.
117,4,At I-55/Stevenson Expy/Exit 53C - Accident.
118,4,Closed at Cermak Rd/Exit 293 - Road closed due to accident.
119,2,Between Canalport Ave/Cermak Rd/Exit 53 and I-55/Stevenson Expy/Exit 53B - Accident.
120,4,At Cermak Rd/Exit 293 - Accident.
121,2,At 115th St/Exit 66B - Accident.
122,3,At Fullerton Ave/Exit 47A - Accident.
123,2,At US-12/US-20/95th St - Accident.
124,2,At 130th St/Exit 68 - Accident.
125,2,Between I-294/Tri-State Tollway and IL-72/W Higgins Rd - Accident.
126,2,At IL-83/Sibley Blvd/Exit 71 - Accident.
127,2,At North Ave - Accident.
128,2,At US-20/IL-83/W Lake St - Accident.
129,3,Between Barrington Rd and IL-59 - Accident.
130,2,At IL-64/North Ave - Accident.
131,2,At IL-64/North Ave - Accident.
132,2,At US-20/Lake St - Accident.
133,2,At CR-21/Big Timber Rd - Accident.
134,2,Between Deer Park Town Center and Hicks Rd - Accident.
135,3,At IL-72/W Higgins Rd - Accident.
136,2,At Fullerton Ave/Exit 47A - Accident.
137,2,At I-80 - Accident.
138,2,At E Old Elm Rd/Old Elm Rd - Accident.
139,2,At IL-137 - Accident.
140,2,Between West Foster Ave/Exit 42 and US-14/Peterson Ave/Exit 41B - Accident.
141,2,At Kingsbury Dr - Accident.
