severity,description
2,Between IL-137/Buckley Rd/Peterson Rd and IL-120/W Belvidere Rd - Accident.
2,At US-14/Northwest Hwy - Accident.
3,Between IL-22 and US-14/Northwest Hwy - Accident.
3,At CR-25/Meyers Rd/Westmore-Meyers Rd - Accident.
3,At Ashland Ave - Accident.
3,At Ashland Ave - Accident.
3,At CR-37/CR-W26/N Kilbourne Rd - Accident.
3,At CR-37/CR-W26/N Kilbourne Rd - Accident.
3,At Stearns Rd - Accident.
3,At Stearns Rd - Accident.
3,At California Ave/Exit 46A - Accident.
3,At IL-43/Harlem Ave/Exit 148 - Accident.
3,At IL-43/Harlem Ave/Exit 148 - Accident.
2,At 115th St/Exit 66B - Accident.
3,At Naperville Rd - Accident.
2,At Canalport Ave/Cermak Rd/Exit 53 - Accident.
2,At Pulaski Rd/Exit 44B - Accident.
2,At Ivanhoe Rd - Accident.
2,At Williams Rd - Accident.
2,At IL-43/Harlem Ave/Exit 21B - Accident.
2,At Montrose Ave/Exit 43C - Accident.
2,At IL-19/W Irving Park Rd - Accident.
2,Between Division St/Exit 49A and IL-64/North Ave/Exit 48B - Accident.
2,At US-12/US-20/95th St/Exit 62 - Accident.
2,At 75th St - Accident.
2,Ramp to I-355 Nb - Accident.
2,Ramp to I-355 NB and IL-56/Butterfield Rd - Accident.
2,Ramp to I-355 (North) - Accident.
2,Ramp to I-355 Northbound and IL-56 - Accident.
2,At IL-53-ext - Accident.
2,At Diamond Lake Rd - Accident.
3,At Dolton Ave/Exit 70 - Accident.
2,At Hawley St - Accident.
2,At Old Orchard Rd/Exit 35 - Accident.
2,At I-355 (North) - Accident.
3,At CR-5/CR-V62/N Quentin Rd - Accident.
3,At I-94/Tri-State Tollway - Accident.
3,At CR-5/CR-V62/N Quentin Rd - Accident.
3,At Roosevelt Rd - Accident.
3,At 24th St - Accident.
3,At 24th St - Accident.
3,At IL-59/N Hough St - Accident.
3,At 10th St - Accident.
3,At Almond Rd - Accident.
3,At Almond Rd - Accident.
3,At US-14/Northwest Hwy - Accident.
3,At US-45/96th Ave/Exit 145 - Accident.
3,At Oakley BLV/Western Ave/Exit 27C - Accident.
3,At 71st St - Accident.
3,At Casey Rd - Accident.
3,At IL-132/Grand Ave - Accident.
3,At Casey Rd - Accident.
3,At US-41/Skokie Hwy - Accident.
3,At IL-132/Grand Ave - Accident.
3,At Wolf Rd/Exit 16 - Accident.
3,At 25th Ave/Exit 18 - Accident.
3,At Augusta Blvd - Accident.
3,At Augusta Blvd - Accident.
3,Between IN-10/Exit 230 and Kankakee Rest Area - Accident.
4,Closed between Naperville Rd and Winfield Rd - Road closed due to accident.
3,At 63rd St/Exit 58B - Accident.
3,At Dolton Ave/Exit 70 - Accident.
4,Closed at IL-120/Belvidere Rd - Road closed due to accident.
4,Closed at IL-134/Round Lake Rd - Road closed due to accident.
3,Between IL-1/Halsted St and Dixie Hwy - Accident.
3,Ramp to Milwaukee Ave/Exit 49B - Accident.
2,At 111th St/Exit 66A - Accident.
2,At Lake-Cook Road - Accident.
2,At Sibley Blvd/147th St/Exit 350 - Accident.
2,At Holland Rd - Accident.
2,At Stewart Ave - Accident.
2,At IL-1/Halsted St - Accident.
2,Ramp to Keeler Ave/Exit 44A - Accident.
2,At Laramie Ave/Exit 24A - Accident.
2,At 31st St - Accident.
2,At Grosse Pointe Cir - Accident.
4,Closed at Oakwood Rd - Road closed due to accident.
4,Closed at IL Route 83 - Road closed due to accident.
2,At IL-171/Archer Ave - Accident.
2,At IL-43/Harlem Ave/Exit 21B - Accident.
2,At IL-43/Harlem Ave/Exit 21B - Accident.
2,At CR-2/Hobson Rd - Accident.
2,At US-45/IL-21/Milwaukee Ave - Accident.
2,Between Pulaski Rd/Exit 287 and IL-50/Cicero Ave/Exit 286 - Accident.
2,At Nicoll Ave - Accident.
2,At CR-33/CR-A44/Aptakisic Rd - Accident.
2,At Main St - Accident.
2,At Ashland BLV/Paulina St/Exit 28B - Accident.
3,At Mill Rd - Accident.
3,At Mill Rd - Accident.
3,At Port Clinton Rd - Accident.
3,At Riverside Rd - Accident.
2,At I-88/IL-56/Butterfield Rd - Accident.
3,At I-190/Exit 78 - Accident.
3,At I-80/Exit 345 - Accident.
3,At CR-49/CR-V61/N Fairfield Rd - Accident.
3,At CR-49/CR-V61/N Fairfield Rd - Accident.
3,At CR-24/CR-V60/N Hainesville Rd - Accident.
3,At CR-24/CR-V60/N Hainesville Rd - Accident.
3,At I-294/IL-38/Roosevelt Rd - Accident.
3,At Roselle Rd - Accident.
3,At 83rd St/Exit 61A/Exit 61B - Accident.
3,At 93rd Pl - Accident.
3,At Central Ave/Exit 23B - Accident.
3,At 93rd Pl - Accident.
3,At Kimball Ave/Exit 45B - Accident.
3,At 87th St/Exit 61B - Accident.
3,At Milwaukee Ave/Exit 49B - Accident.
3,Between 63rd St/Exit 58B and I-90/I-94 Eastern Split - Accident.
3,At 18th St/Exit 52C - Accident.
3,At Austin Blvd/Exit 23A - Accident.
3,At River Rd/Exit 1 - Accident.
2,At Lambert Rd - Accident.
3,At 47th St/Exit 56B - Accident.
3,At IL-31/State St - Accident.
3,At US-12/US-20/95th St/Exit 62 - Accident.
4,Closed between Damen Ave/Exit 290 and I-94/Ryan Expy/Exit 292 - Road closed due to accident.
4,At I-55/Stevenson Expy/Exit 53C - Accident.
4,Closed at Cermak Rd/Exit 293 - Road closed due to accident.
2,Between Canalport Ave/Cermak Rd/Exit 53 and I-55/Stevenson Expy/Exit 53B - Accident.
